,Sentence,Emotion
376,When my husband suddenly came to see me at my new job and á brought some flowers and cake with him.,joy
377,When I was nearly attackad by a man who had been chasing me.,fear
378,"When my father asked me if I was a communist, at the same time he á made it clear that I should no longer see myself as his daughter.",anger
379,"When I applied for a job which I thought I had a good chance of á getting, I was not even granted an interview and did not get the á job.",sadness
380,T.V features showing the violation of defenceless people.,digust
381,When I as a child of 9 or 10 I was playing doctor with the á neighbours boys their mother caught us.,shame
382,When my husband talked about the restrictions he will have to á accept in his life to make our marriage work.  I felt that it was á directed at me as it was me who had demanded the changes.  We á were with a marriage counsellor then.,guilty
383,When we were able to afford a new sofa - a leather one which cost á SEK 20000.  I had waited for it for 2-3 years.,joy
384,Vertigo - standing on a ladder and painting the house.,fear
385,When my boss enrolled in a course to satisfy his own ends - to á trample on his associates.  I have the misfortune to have one of á my superiors in my course.,anger
386,When I argue with my mother about the way she treats her two á children differently.,sadness
387,Spit and vomit.,digust
388,Spots on the seat covers of my husband's car.,shame
389,Not speaking to my sister-in-law due to lack of interest in a á relationship on my side.,guilty
390,"When I recently managed to get my first consulting assignment á \myself\"" i.e on my own initiative.""",joy
391,I was within a hair's breadth of knocking down a drunkard who á suddenly ran into the street.  The fear came later when I     á realized what could have happened.,fear
392,"When my friend, as usual, forgot the tickets at home for a á performance.  We missed it.",anger
393,"The elections of 1982 and 1985.  The thought of what a social á democrat and communist majority could achieve, especially \worker á",sadness
394,"A study visit to a chicken factory : the butchery, the smell, á the environment and the noise.",digust
395,Confession to my parents about my involvement in a moped theft.,shame
396,"[ No answer as I see very little difference between shame and á guilt.  Therefore see answer for \shame\"".]""",guilty
397,When I was appointed to position of trust in a group set up to á change the working environment.,joy
398,I was alone in a cottage I often stay in.  I was woken up by a á rustling sound in the middle of the night.,fear
399,"When I tried to explain to a plumber, face to face, that the á toilet was broken and he did not believe it (it had been mended á ten times).",anger
400,When the result of a project work was treated nonchalantly á intead of being criticized by the teacher.,sadness
401,When programmes on violence or pornography are shown on T.V.,digust
402,When I talked maliciously about a colleague at work to someone á else.  Immediately afterwards I felt ashamed.,shame
403,When I decided to take a week s holiday without consulting the á family first.,guilty
404,After my girl and I talked things over our relationship changed á and became positive.  A diificult time turned into pleasant one.,joy
405,When we could not land our plane and we knew that the fuel was á running out.  Bad weather had already frightened us.,fear
406,When I read about Reagan's tactical decision concerning the á South African boycott.,anger
407,When my half brother became seriously ill with cancer and died á later.,sadness
408,A film were a woman was attacked and raped.  One did not see the á worst but it had the desired effect - very strong.,digust
